term,meaning,usage_context,formality,region
joker,joker (English borrowed),fool reference,informal,Urban Karnataka
ne,emphasis particle,emphasis,informal,Karnataka
complaint,complaint (English borrowed),formal grievance,informal,Urban Karnataka
haakthini,I will put/file,future tense,informal,Karnataka
sir,sir (English borrowed),authority address,formal,Academic context
limit,limit (English borrowed),boundary,informal,Urban Karnataka
mundina sari,next time,future reference,informal,Karnataka
barbeku,must come,obligation modal,informal,Karnataka
helthini,I will tell,future tense,informal,Karnataka
tension,tension (English borrowed),stress,informal,Urban Karnataka
review,review (English borrowed),evaluation,informal,Academic slang
okay,okay (English borrowed),agreement,informal,Urban Karnataka
canteen,canteen (English borrowed),cafeteria,informal,Academic slang
meet,meet (English borrowed),gathering,informal,Urban Karnataka
aagona,let's become/meet,suggestive verb,informal,Karnataka
extra,extra (English borrowed),additional,informal,Urban Karnataka
pen,pen (English borrowed),writing tool,informal,Urban Karnataka
togond,take/bring,imperative verb,informal,Karnataka
pls,please (abbreviation),polite request,informal,Tech slang
exam,exam (English borrowed),examination,informal,Academic slang
tough,tough (English borrowed),difficult,informal,Urban Karnataka
somehow,somehow (English borrowed),manner adverb,informal,Urban Karnataka
function,function (English borrowed),event,informal,Urban Karnataka
share,share (English borrowed),distribution,informal,Urban Karnataka
send,send (English borrowed),transmission,informal,Urban Karnataka
notes,notes (English borrowed),study material,informal,Academic slang
yavdru,anyone/whoever,indefinite pronoun,informal,Karnataka
idre,if there is,conditional,informal,Karnataka
naale,tomorrow,temporal adverb,informal,Karnataka
naalege,for tomorrow,purpose temporal,informal,Karnataka
yaaru,who,question pronoun,informal,Karnataka
helri,please tell,polite imperative,informal,Karnataka
birthday,birthday (English borrowed),celebration,informal,Urban Karnataka
happy,happy (English borrowed),positive emotion,informal,Urban Karnataka
olle,good,positive adjective,informal,Karnataka
varsha,year,time reference,informal,Karnataka
agli,let it be/become,optative verb,informal,Karnataka
reel,reel (English borrowed),social media video,informal,Tech slang
comedy,comedy (English borrowed),humor,informal,Urban Karnataka
bore,boring (English borrowed),tedium,informal,Urban Karnataka
ivattu,today,temporal adverb,informal,Karnataka
class,class (English borrowed),lesson/group,informal,Academic slang
ninne,yesterday,temporal adverb,informal,Karnataka
weekend,weekend (English borrowed),time period,informal,Urban Karnataka
yava,which,question determiner,informal,Karnataka
pizza,pizza (English borrowed),food,informal,Urban Karnataka
nimisha,minute,time unit,informal,Karnataka
join,join (English borrowed),participation,informal,Urban Karnataka
wait,wait (English borrowed),patience request,informal,Urban Karnataka
careful,careful (English borrowed),caution warning,informal,Urban Karnataka
iru,be/stay,state verb,informal,Karnataka
problem,problem (English borrowed),issue,informal,Urban Karnataka
agutte,becomes/happens,resultative verb,informal,Karnataka
nodu,look/see,perception verb imperative,informal,Karnataka
agalla,won't become,negative potential,informal,Karnataka
yavattu,never/always,temporal adverb,informal,Karnataka
dumb,dumb (English borrowed),stupid insult,informal,Urban Karnataka
sariyagi,properly/correctly,manner adverb,informal,Karnataka
kelsa,work,activity noun,informal,Karnataka
barthidira,are you all coming,plural question,informal,Karnataka
madthare,will they do,future question,informal,Karnataka
yardru,anyone,indefinite pronoun,informal,Karnataka
assignment,assignment (English borrowed),homework,informal,Academic slang
grp,group (abbreviation),chat group,informal,Tech slang
madona,let's do,suggestive verb,informal,Karnataka
hodbitta,went away,emphatic past,informal,Karnataka
barthini,I will come,future promise,informal,Karnataka
hogthini,I will go,future intent,informal,Karnataka
aagona,let's become/meet,suggestive,informal,Karnataka
kanstide,seems/appears,perception,informal,Karnataka
aaytu,became/happened,completion past,informal,Karnataka
barthidira,are you coming,polite question,informal,Karnataka
madthiya,are you doing,question form,informal,Karnataka
heltini,I will tell,future intent,informal,Karnataka
nodthini,I will see,future intent,informal,Karnataka
kogthini,I will give,future intent,informal,Karnataka
taglthini,I will take,future intent,informal,Karnataka
bartare,they will come,third person future,informal,Karnataka
madtare,they will do,third person future,informal,Karnataka
heltare,they will tell,third person future,informal,Karnataka
nodtare,they will see,third person future,informal,Karnataka
bandru,came (emphatic),past emphatic,informal,Karnataka
maadidru,did (emphatic),past emphatic,informal,Karnataka
helidru,told (emphatic),past emphatic,informal,Karnataka
nodidru,saw (emphatic),past emphatic,informal,Karnataka
barthidya,are you coming,informal question,informal,Karnataka
madthidya,are you doing,informal question,informal,Karnataka
helthidya,are you telling,informal question,informal,Karnataka
nodthidya,are you seeing,informal question,informal,Karnataka
hogthidya,are you going,informal question,informal,Karnataka
barthare,are they coming,third person question,informal,Karnataka
madthare,are they doing,third person question,informal,Karnataka
helthare,are they telling,third person question,informal,Karnataka
nodthare,are they seeing,third person question,informal,Karnataka
hogthare,are they going,third person question,informal,Karnataka
bandidya,did you come,past question,informal,Karnataka
maadidya,did you do,past question,informal,Karnataka
helidya,did you tell,past question,informal,Karnataka
nodidya,did you see,past question,informal,Karnataka
hogidya,did you go,past question,informal,Karnataka
beku,want/need,desire modal,informal,Karnataka
beda,don't want,refusal modal,informal,Karnataka
bhodidya,did you get,past question,informal,Karnataka
sigtha,is it available,availability question,informal,Karnataka
gotthu,know,knowledge verb,informal,Karnataka
gotthilla,don't know,negative knowledge,informal,Karnataka
nodappa,look (emphatic),emphatic imperative,informal,Karnataka
heluappa,tell (emphatic),emphatic imperative,informal,Karnataka
baappa,come (emphatic),emphatic imperative,informal,Karnataka
hoguappa,go (emphatic),emphatic imperative,informal,Karnataka
maaduappa,do (emphatic),emphatic imperative,informal,Karnataka
swalpa,a little/bit,degree modifier,informal,Karnataka
tumba,very/lot,intensity modifier,informal,Karnataka
sakkat,very/super,strong intensity,informal,Karnataka
full,very/completely (English),intensity borrowed,informal,Urban Karnataka
total,completely (English),complete modifier,informal,Urban Karnataka
extra,additional (English),excess modifier,informal,Urban Karnataka
solid,very good (English),appreciation,informal,Urban Karnataka
mass,great/awesome (English),appreciation,informal,Urban Karnataka
level,level (English),quality indicator,informal,Urban Karnataka
scene,situation (English),context reference,informal,Urban Karnataka
style,style (English),manner reference,informal,Urban Karnataka
setting,arrangement (English),deal reference,informal,Urban Karnataka
tension,stress (English),anxiety reference,informal,Urban Karnataka
simple,easy (English),difficulty modifier,informal,Urban Karnataka
tight,strict (English),strictness,informal,Urban Karnataka
light,easy/casual (English),ease modifier,informal,Urban Karnataka
fast,quick (English),speed modifier,informal,Urban Karnataka
slow,slow (English),speed modifier,informal,Urban Karnataka
fresh,new (English),newness,informal,Urban Karnataka
chill,relax (English),relaxation,informal,Urban Karnataka
cool,calm/good (English),positive state,informal,Urban Karnataka
hot,trending (English),popularity,informal,Urban Karnataka
fire,excellent (English),appreciation slang,informal,Urban Karnataka
lit,amazing (English),appreciation slang,informal,Urban Karnataka
vibe,atmosphere (English),feeling reference,informal,Urban Karnataka
mood,mood (English),emotional state,informal,Urban Karnataka
energy,energy (English),enthusiasm,informal,Urban Karnataka
flow,flow (English),continuity,informal,Urban Karnataka
peak,peak (English),maximum state,informal,Urban Karnataka
random,random (English),unexpected,informal,Urban Karnataka
basic,basic (English),ordinary,informal,Urban Karnataka
crazy,crazy (English),intensity,informal,Urban Karnataka
mad,extreme (English),intensity,informal,Urban Karnataka
sick,cool/amazing (English),appreciation slang,informal,Urban Karnataka
dope,excellent (English),appreciation slang,informal,Urban Karnataka
epic,amazing (English),appreciation slang,informal,Urban Karnataka
legend,great person (English),praise reference,informal,Urban Karnataka
savage,fierce (English),intensity praise,informal,Urban Karnataka
flex,show off (English),display action,informal,Urban Karnataka
vibe,atmosphere (English),feeling noun,informal,Urban Karnataka
hype,excitement (English),enthusiasm noun,informal,Urban Karnataka
cringe,embarrassing (English),negative emotion,informal,Urban Karnataka
sus,suspicious (English),doubt reference,informal,Urban Karnataka
lowkey,secretly (English),manner adverb,informal,Urban Karnataka
highkey,obviously (English),manner adverb,informal,Urban Karnataka
legit,legitimate (English),authenticity,informal,Urban Karnataka
slay,excel (English),appreciation verb,informal,Urban Karnataka
ghost,ignore (English),avoidance action,informal,Urban Karnataka
troll,mock (English),teasing action,informal,Urban Karnataka
spam,spam (English),excessive messaging,informal,Tech slang
block,block (English),digital restriction,informal,Tech slang
mute,mute (English),silence action,informal,Tech slang
ban,ban (English),restriction,informal,Tech slang
report,report (English),complaint action,informal,Tech slang
tag,tag (English),mention action,informal,Tech slang
post,post (English),publish action,informal,Tech slang
story,story (English),social media feature,informal,Tech slang
live,live (English),streaming,informal,Tech slang
stream,stream (English),broadcasting,informal,Tech slang
viral,viral (English),popularity term,informal,Tech slang
trend,trend (English),popularity term,informal,Tech slang
hashtag,hashtag (English),social media term,informal,Tech slang
handle,handle (English),username reference,informal,Tech slang
profile,profile (English),account reference,informal,Tech slang
bio,bio (English),biography,informal,Tech slang
dm,direct message (English),private message,informal,Tech slang
inbox,inbox (English),message folder,informal,Tech slang
notification,notification (English),alert,informal,Tech slang
update,update (English),refresh action,informal,Tech slang
download,download (English),transfer action,informal,Tech slang
upload,upload (English),transfer action,informal,Tech slang
screenshot,screenshot (English),capture action,informal,Tech slang
forward,forward (English),share action,informal,Tech slang
backup,backup (English),save action,informal,Tech slang
sync,sync (English),synchronize,informal,Tech slang
online,online (English),connected state,informal,Tech slang
offline,offline (English),disconnected state,informal,Tech slang
seen,seen (English),read status,informal,Tech slang
typing,typing (English),writing status,informal,Tech slang
active,active (English),availability status,informal,Tech slang
away,away (English),unavailable status,informal,Tech slang
busy,busy (English),occupied status,informal,Tech slang
avail,available (English),availability,informal,Tech slang
done,done (English),completion,informal,Urban Karnataka
fix,fix (English),repair action,informal,Urban Karnataka
sort,sort/arrange (English),organize action,informal,Urban Karnataka
manage,manage (English),handle action,informal,Urban Karnataka
handle,handle (English),manage action,informal,Urban Karnataka
deal,deal (English),arrangement,informal,Urban Karnataka
confirm,confirm (English),verification,informal,Urban Karnataka
cancel,cancel (English),cancellation,informal,Urban Karnataka
postpone,postpone (English),delay action,informal,Urban Karnataka
reschedule,reschedule (English),rearrange,informal,Urban Karnataka
skip,skip (English),miss action,informal,Urban Karnataka
attend,attend (English),presence,informal,Urban Karnataka
bunking,bunking (English),skipping class,informal,Academic slang
proxy,proxy (English),substitute attendance,informal,Academic slang
internal,internal (English),internal exam,informal,Academic slang
external,external (English),external exam,informal,Academic slang
viva,viva (English),oral exam,informal,Academic slang
practical,practical (English),lab exam,informal,Academic slang
theory,theory (English),written exam,informal,Academic slang
semester,semester (English),academic term,informal,Academic slang
credits,credits (English),academic units,informal,Academic slang
cgpa,cgpa (English),grade average,informal,Academic slang
backlog,backlog (English),failed subject,informal,Academic slang
arrear,arrear (English),pending subject,informal,Academic slang
retest,retest (English),repeat exam,informal,Academic slang
supply,supply (English),supplementary exam,informal,Academic slang
grace,grace (English),extra marks,informal,Academic slang
topper,topper (English),top scorer,informal,Academic slang
ranker,ranker (English),rank holder,informal,Academic slang
batch,batch (English),class group,informal,Academic slang
senior,senior (English),upper classman,informal,Academic slang
junior,junior (English),lower classman,informal,Academic slang
fresher,fresher (English),new student,informal,Academic slang
alumni,alumni (English),graduate,informal,Academic slang
faculty,faculty (English),professor,informal,Academic slang
hod,hod (English),department head,informal,Academic slang
principal,principal (English),school head,informal,Academic slang
placement,placement (English),job recruitment,informal,Academic slang
package,package (English),salary offer,informal,Academic slang
offer,offer (English),job offer,informal,Academic slang
internship,internship (English),training period,informal,Academic slang
training,training (English),learning period,informal,Academic slang
workshop,workshop (English),practical session,informal,Academic slang
seminar,seminar (English),presentation event,informal,Academic slang
conference,conference (English),academic event,informal,Academic slang
hackathon,hackathon (English),coding competition,informal,Tech slang
deadline,deadline (English),due date,informal,Academic slang
submission,submission (English),assignment turn-in,informal,Academic slang
feedback,feedback (English),response,informal,Urban Karnataka
discussion,discussion (English),conversation,informal,Urban Karnataka
debate,debate (English),argument,informal,Urban Karnataka
argument,argument (English),disagreement,informal,Urban Karnataka
drama,drama (English),unnecessary conflict,informal,Urban Karnataka
issue,issue (English),problem,informal,Urban Karnataka
matter,matter (English),concern,informal,Urban Karnataka
case,case (English),situation,informal,Urban Karnataka
point,point (English),argument item,informal,Urban Karnataka
fact,fact (English),truth,informal,Urban Karnataka
opinion,opinion (English),viewpoint,informal,Urban Karnataka
doubt,doubt (English),question,informal,Academic slang
query,query (English),question,informal,Academic slang
solution,solution (English),answer,informal,Academic slang
answer,answer (English),response,informal,Urban Karnataka
question,question (English),inquiry,informal,Urban Karnataka
idea,idea (English),thought,informal,Urban Karnataka
plan,plan (English),arrangement,informal,Urban Karnataka
goal,goal (English),objective,informal,Urban Karnataka
target,target (English),aim,informal,Urban Karnataka
result,result (English),outcome,informal,Academic slang
score,score (English),marks,informal,Academic slang
marks,marks (English),grades,informal,Academic slang
grade,grade (English),rating,informal,Academic slang
rank,rank (English),position,informal,Academic slang
position,position (English),standing,informal,Academic slang
level,level (English),stage,informal,Urban Karnataka
stage,stage (English),phase,informal,Urban Karnataka
phase,phase (English),period,informal,Urban Karnataka
round,round (English),stage,informal,Urban Karnataka
chance,chance (English),opportunity,informal,Urban Karnataka
opportunity,opportunity (English),occasion,informal,Urban Karnataka
option,option (English),choice,informal,Urban Karnataka
choice,choice (English),selection,informal,Urban Karnataka
preference,preference (English),liking,informal,Urban Karnataka
interest,interest (English),curiosity,informal,Urban Karnataka
hobby,hobby (English),pastime,informal,Urban Karnataka
passion,passion (English),strong interest,informal,Urban Karnataka
talent,talent (English),skill,informal,Urban Karnataka
skill,skill (English),ability,informal,Urban Karnataka
ability,ability (English),capability,informal,Urban Karnataka
strength,strength (English),strong point,informal,Urban Karnataka
weakness,weakness (English),weak point,informal,Urban Karnataka
quality,quality (English),attribute,informal,Urban Karnataka
character,character (English),personality,informal,Urban Karnataka
attitude,attitude (English),behavior pattern,informal,Urban Karnataka
mentality,mentality (English),mindset,informal,Urban Karnataka
mindset,mindset (English),thinking pattern,informal,Urban Karnataka
approach,approach (English),method,informal,Urban Karnataka
method,method (English),way,informal,Urban Karnataka
technique,technique (English),skill method,informal,Urban Karnataka
strategy,strategy (English),plan approach,informal,Urban Karnataka
tactic,tactic (English),method,informal,Urban Karnataka
trick,trick (English),clever method,informal,Urban Karnataka
hack,hack (English),shortcut method,informal,Tech slang
shortcut,shortcut (English),quick method,informal,Urban Karnataka
way,way (English),method,informal,Urban Karnataka
style,style (English),manner,informal,Urban Karnataka
format,format (English),structure,informal,Urban Karnataka
pattern,pattern (English),design,informal,Urban Karnataka
design,design (English),plan layout,informal,Urban Karnataka
layout,layout (English),arrangement,informal,Urban Karnataka
structure,structure (English),organization,informal,Urban Karnataka
system,system (English),organized method,informal,Urban Karnataka
process,process (English),procedure,informal,Urban Karnataka
procedure,procedure (English),steps,informal,Urban Karnataka
step,step (English),stage,informal,Urban Karnataka
action,action (English),deed,informal,Urban Karnataka
activity,activity (English),task,informal,Urban Karnataka
task,task (English),work item,informal,Urban Karnataka
work,work (English),labor,informal,Urban Karnataka
job,job (English),employment,informal,Urban Karnataka
duty,duty (English),responsibility,informal,Urban Karnataka
responsibility,responsibility (English),obligation,informal,Urban Karnataka
role,role (English),function,informal,Urban Karnataka
function,function (English),purpose,informal,Urban Karnataka
purpose,purpose (English),aim,informal,Urban Karnataka
reason,reason (English),cause,informal,Urban Karnataka
cause,cause (English),reason,informal,Urban Karnataka
effect,effect (English),result,informal,Urban Karnataka
impact,impact (English),influence,informal,Urban Karnataka
influence,influence (English),effect,informal,Urban Karnataka
power,power (English),authority,informal,Urban Karnataka
control,control (English),command,informal,Urban Karnataka
command,command (English),order,informal,Urban Karnataka
order,order (English),instruction,informal,Urban Karnataka
instruction,instruction (English),direction,informal,Urban Karnataka
direction,direction (English),guidance,informal,Urban Karnataka
guidance,guidance (English),advice,informal,Urban Karnataka
advice,advice (English),suggestion,informal,Urban Karnataka
suggestion,suggestion (English),recommendation,informal,Urban Karnataka
recommendation,recommendation (English),endorsement,informal,Urban Karnataka
support,support (English),help,informal,Urban Karnataka
assistance,assistance (English),aid,informal,Urban Karnataka
aid,aid (English),help,informal,Urban Karnataka
favor,favor (English),kindness,informal,Urban Karnataka
request,request (English),ask,informal,Urban Karnataka
demand,demand (English),require,informal,Urban Karnataka
requirement,requirement (English),need,informal,Urban Karnataka
need,need (English),necessity,informal,Urban Karnataka
necessity,necessity (English),essential,informal,Urban Karnataka
essential,essential (English),must-have,informal,Urban Karnataka
important,important (English),significant,informal,Urban Karnataka
significant,significant (English),meaningful,informal,Urban Karnataka
meaningful,meaningful (English),important,informal,Urban Karnataka
relevant,relevant (English),related,informal,Urban Karnataka
related,related (English),connected,informal,Urban Karnataka
connected,connected (English),linked,informal,Urban Karnataka
linked,linked (English),joined,informal,Urban Karnataka
joined,joined (English),connected,informal,Urban Karnataka
separate,separate (English),apart,informal,Urban Karnataka
apart,apart (English),separate,informal,Urban Karnataka
together,together (English),united,informal,Urban Karnataka
united,united (English),together,informal,Urban Karnataka
common,common (English),shared,informal,Urban Karnataka
shared,shared (English),common,informal,Urban Karnataka
private,private (English),personal,informal,Urban Karnataka
personal,personal (English),individual,informal,Urban Karnataka
individual,individual (English),single,informal,Urban Karnataka
single,single (English),one,informal,Urban Karnataka
double,double (English),two,informal,Urban Karnataka
triple,triple (English),three,informal,Urban Karnataka
multiple,multiple (English),many,informal,Urban Karnataka
few,few (English),some,informal,Urban Karnataka
many,many (English),lots,informal,Urban Karnataka
lots,lots (English),many,informal,Urban Karnataka
plenty,plenty (English),enough,informal,Urban Karnataka
enough,enough (English),sufficient,informal,Urban Karnataka
sufficient,sufficient (English),adequate,informal,Urban Karnataka
adequate,adequate (English),enough,informal,Urban Karnataka
proper,proper (English),correct,informal,Urban Karnataka
correct,correct (English),right,informal,Urban Karnataka
right,right (English),correct,informal,Urban Karnataka
wrong,wrong (English),incorrect,informal,Urban Karnataka
incorrect,incorrect (English),wrong,informal,Urban Karnataka
true,true (English),correct,informal,Urban Karnataka
false,false (English),wrong,informal,Urban Karnataka
real,real (English),genuine,informal,Urban Karnataka
fake,fake (English),false,informal,Urban Karnataka
genuine,genuine (English),real,informal,Urban Karnataka
original,original (English),authentic,informal,Urban Karnataka
authentic,authentic (English),real,informal,Urban Karnataka
copy,copy (English),duplicate,informal,Urban Karnataka
duplicate,duplicate (English),copy,informal,Urban Karnataka
sample,sample (English),example,informal,Urban Karnataka
example,example (English),instance,informal,Urban Karnataka
instance,instance (English),case,informal,Urban Karnataka
regular,regular (English),normal,informal,Urban Karnataka
normal,normal (English),usual,informal,Urban Karnataka
usual,usual (English),common,informal,Urban Karnataka
special,special (English),unique,informal,Urban Karnataka
unique,unique (English),one-of-a-kind,informal,Urban Karnataka
rare,rare (English),uncommon,informal,Urban Karnataka
uncommon,uncommon (English),rare,informal,Urban Karnataka
average,average (English),medium,informal,Urban Karnataka
medium,medium (English),middle,informal,Urban Karnataka
high,high (English),elevated,informal,Urban Karnataka
low,low (English),reduced,informal,Urban Karnataka
maximum,maximum (English),highest,informal,Urban Karnataka
minimum,minimum (English),lowest,informal,Urban Karnataka
extreme,extreme (English),intense,informal,Urban Karnataka
intense,intense (English),strong,informal,Urban Karnataka
strong,strong (English),powerful,informal,Urban Karnataka
weak,weak (English),feeble,informal,Urban Karnataka
hard,hard (English),difficult,informal,Urban Karnataka
easy,easy (English),simple,informal,Urban Karnataka
difficult,difficult (English),hard,informal,Urban Karnataka
complex,complex (English),complicated,informal,Urban Karnataka
complicated,complicated (English),complex,informal,Urban Karnataka
clear,clear (English),obvious,informal,Urban Karnataka
obvious,obvious (English),clear,informal,Urban Karnataka
confusing,confusing (English),unclear,informal,Urban Karnataka
unclear,unclear (English),vague,informal,Urban Karnataka
vague,vague (English),unclear,informal,Urban Karnataka
specific,specific (English),particular,informal,Urban Karnataka
particular,particular (English),specific,informal,Urban Karnataka
general,general (English),broad,informal,Urban Karnataka
broad,broad (English),wide,informal,Urban Karnataka
narrow,narrow (English),limited,informal,Urban Karnataka
limited,limited (English),restricted,informal,Urban Karnataka
restricted,restricted (English),limited,informal,Urban Karnataka
open,open (English),available,informal,Urban Karnataka
closed,closed (English),shut,informal,Urban Karnataka
available,available (English),accessible,informal,Urban Karnataka
accessible,accessible (English),reachable,informal,Urban Karnataka
reachable,reachable (English),contactable,informal,Urban Karnataka
visible,visible (English),seen,informal,Urban Karnataka
hidden,hidden (English),concealed,informal,Urban Karnataka
public,public (English),open,informal,Urban Karnataka
secret,secret (English),hidden,informal,Urban Karnataka
official,official (English),formal,informal,Urban Karnataka
unofficial,unofficial (English),informal,informal,Urban Karnataka
