term,meaning,usage_context,formality,category
roger,understood,confirmation,informal,response
noted,acknowledged,confirmation,formal,response
agree,concur,agreement,informal,agreement
disagree,differ in opinion,disagreement,informal,disagreement
wrong,incorrect,correction,informal,criticism
right,correct,confirmation,informal,agreement
true,accurate,confirmation,informal,agreement
false,inaccurate,correction,informal,criticism
fake,not genuine,criticism,informal,criticism
real,genuine,confirmation,informal,praise
honest,truthful,positive trait,informal,praise
loyal,faithful,positive trait,informal,praise
trustworthy,reliable,positive trait,formal,praise
reliable,dependable,positive trait,formal,praise
responsible,accountable,positive trait,formal,praise
mature,adult-like behavior,positive trait,informal,praise
professional,work-appropriate,formal trait,formal,praise
serious,not joking,attitude,informal,state
joking,not serious,clarification,informal,clarification
kidding,not serious,clarification,informal,clarification
teasing,playful mocking,clarification,informal,clarification
mocking,ridiculing,negative behavior,informal,criticism
bullying,aggressive harassment,serious accusation,formal,accusation
harassing,persistent unwanted contact,serious accusation,formal,accusation
stalking,following/monitoring,serious accusation,formal,accusation
threatening,making threats,serious accusation,formal,accusation
insulting,being offensive,accusation,informal,accusation
disrespecting,showing no respect,accusation,informal,accusation
ignoring,not acknowledging,behavior,informal,behavior
avoiding,staying away from,behavior,informal,behavior
blocking,preventing contact,action,informal,action
reporting,filing complaint,action,formal,action
warning,giving notice,action,formal,action
consequence,result of action,threat implication,formal,threat
regret,feel sorry later,threat implication,informal,threat
suffer,experience pain,threat,informal,threat
pay,face consequences,threat idiom,informal,threat
